"aid","case.closed","date.funded","date.published","donation","donor","journalist","n.image","n.word","title","url.article","url.detail"
"A0001","已結案","2003/07/28","2003/06/29",15900,22,"其他",NA,NA,"泰雅災戶盼能重建家園","http://www.appledaily.com.tw/appledaily/article/headline/20030629/26277","http://search.appledaily.com.tw/charity/projdetail/proj/A0001"
"A0002","已結案","2003/06/17","2003/05/03",108415,37,"鋼鐵人",1,934,"夫肺癌末期妻無力謀生","http://www.appledaily.com.tw/appledaily/article/headline/20030503/28388","http://search.appledaily.com.tw/charity/projdetail/proj/A0002"
"A0004","已結案","2003/05/18","2003/05/08",315,2,"小丑女",1,853,"中風殘胞無親人陪伴","http://www.appledaily.com.tw/appledaily/article/headline/20030508/36034","http://search.appledaily.com.tw/charity/projdetail/proj/A0004"
"A0005","已結案","2003/06/06","2003/05/04",33220,27,"鋼鐵人",1,1004,"阿嬤體弱孫女多重障礙","http://www.appledaily.com.tw/appledaily/article/headline/20030504/30292","http://search.appledaily.com.tw/charity/projdetail/proj/A0005"
"A0007","已結案","2003/05/29","2003/05/07",26965,21,"鋼鐵人",0,915,"單親啞母術後又罹病","http://www.appledaily.com.tw/appledaily/article/headline/20030507/34422","http://search.appledaily.com.tw/charity/projdetail/proj/A0007"
"A0008","已結案","2003/06/25","2003/05/22",143200,64,"小丑女",1,912,"跑船男烏腳病鋸雙腿","http://www.appledaily.com.tw/appledaily/article/headline/20030522/57058","http://search.appledaily.com.tw/charity/projdetail/proj/A0008"
"A0009","已結案","2003/06/06","2003/05/06",38015,21,"小丑女",1,890,"痛風父難扛養家重擔","http://www.appledaily.com.tw/appledaily/article/headline/20030506/32776","http://search.appledaily.com.tw/charity/projdetail/proj/A0009"
"A0012","已結案","2003/06/27","2003/05/20",65650,66,"小丑女",1,879,"失業勞工車禍重殘","http://www.appledaily.com.tw/appledaily/article/headline/20030520/55199","http://search.appledaily.com.tw/charity/projdetail/proj/A0012"
"A0013","已結案","2003/06/25","2003/05/17",86700,65,"小丑女",1,1093,"雙十年華打工負擔3代","http://www.appledaily.com.tw/appledaily/article/headline/20030517/50881","http://search.appledaily.com.tw/charity/projdetail/proj/A0013"
"A0015","已結案","2003/06/25","2003/05/23",70900,59,"小丑女",1,734,"綁鋼筋夫婦車禍重創","http://www.appledaily.com.tw/appledaily/article/headline/20030523/60225","http://search.appledaily.com.tw/charity/projdetail/proj/A0015"
