"aid","title","date.published","case.closed","donation","url.article","url.detail"
"A3949","母老姐憨 癌男「我得拚命活下去」","2016/06/10","已結案","765455","http://www.appledaily.com.tw/appledaily/article/headline/20160610/37262706","http://search.appledaily.com.tw/charity/projdetail/proj/A3949"
"A3948","夫腰傷子截肢 鬱婦萬元薪苦撐","2016/06/08","已結案","589581","http://www.appledaily.com.tw/appledaily/article/headline/20160608/37257483","http://search.appledaily.com.tw/charity/projdetail/proj/A3948"
"A3947","男憂腦傷妻中風母「生活慘慘慘」","2016/06/07","已結案","622842","http://www.appledaily.com.tw/appledaily/article/headline/20160607/37255981","http://search.appledaily.com.tw/charity/projdetail/proj/A3947"
"A3946","單親父癌歿 病嬤難顧3孫","2016/06/06","已結案","947888","http://www.appledaily.com.tw/appledaily/article/headline/20160606/37254251","http://search.appledaily.com.tw/charity/projdetail/proj/A3946"
"A3945","小姊弟憂父癌病 躲被偷哭","2016/06/03","已結案","759332","http://www.appledaily.com.tw/appledaily/article/headline/20160603/37249460","http://search.appledaily.com.tw/charity/projdetail/proj/A3945"
"A3944","母罹罕病失明 幸福變調","2016/06/02","已結案","670075","http://www.appledaily.com.tw/appledaily/article/headline/20160602/37247893","http://search.appledaily.com.tw/charity/projdetail/proj/A3944"
"A3943","父中風母罹癌 國一女怕來不及孝順","2016/06/01","已結案","888736","http://www.appledaily.com.tw/appledaily/article/headline/20160601/37245498","http://search.appledaily.com.tw/charity/projdetail/proj/A3943"
"A3942","撐家漢癌擴散已斷炊「措手不及」","2016/05/31","已結案","650015","http://www.appledaily.com.tw/appledaily/article/headline/20160531/37243315","http://search.appledaily.com.tw/charity/projdetail/proj/A3942"
"A3941","單親媽罹癌憂萬一「2幼女怎辦」","2016/05/30","已結案","922783","http://www.appledaily.com.tw/appledaily/article/headline/20160530/37242126","http://search.appledaily.com.tw/charity/projdetail/proj/A3941"
"A3940","癌母病女相依 一頓早餐撐一天","2016/05/27","已結案","709357","http://www.appledaily.com.tw/appledaily/article/headline/20160527/37237586","http://search.appledaily.com.tw/charity/projdetail/proj/A3940"
"A3939","撐家漢等換心 「一家四散」","2016/05/26","已結案","600557","http://www.appledaily.com.tw/appledaily/article/headline/20160526/37236606","http://search.appledaily.com.tw/charity/projdetail/proj/A3939"
"A3938","婦慟：長子剛歿次子又罹癌","2016/05/25","已結案","557704","http://www.appledaily.com.tw/appledaily/article/headline/20160525/37231730","http://search.appledaily.com.tw/charity/projdetail/proj/A3938"
"A3937","貧病夫妻顧腦傷子盼奇蹟","2016/05/24","已結案","530336","http://www.appledaily.com.tw/appledaily/article/headline/20160524/37230537","http://search.appledaily.com.tw/charity/projdetail/proj/A3937"
"A3936","孝女憂養父罹癌夫病倒","2016/05/23","已結案","586162","http://www.appledaily.com.tw/appledaily/article/headline/20160523/37229011","http://search.appledaily.com.tw/charity/projdetail/proj/A3936"
"A3935","半盲子顧癌母 「是我連累他」","2016/05/20","已結案","762471","http://www.appledaily.com.tw/appledaily/article/headline/20160520/37224428","http://search.appledaily.com.tw/charity/projdetail/proj/A3935"
"A3934","單親爸重病 7口陷困","2016/05/19","已結案","632662","http://www.appledaily.com.tw/appledaily/article/headline/20160519/37222023","http://search.appledaily.com.tw/charity/projdetail/proj/A3934"
"A3933","粗工男憂沒腳怎養4口家","2016/05/18","已結案","616318","http://www.appledaily.com.tw/appledaily/article/headline/20160518/37220282","http://search.appledaily.com.tw/charity/projdetail/proj/A3933"
"A3932","單親癌母心疼11歲女 已無爸爸「要跟病魔拚到贏」","2016/05/17","已結案","759662","http://www.appledaily.com.tw/appledaily/article/headline/20160517/37217837","http://search.appledaily.com.tw/charity/projdetail/proj/A3932"
"A3931","子病女憨 寡母憂5口陷困","2016/05/16","已結案","620254","http://www.appledaily.com.tw/appledaily/article/headline/20160516/37216392","http://search.appledaily.com.tw/charity/projdetail/proj/A3931"
"A3930","壯漢中風半癱 6歲女助復健","2016/05/15","已結案","607114","http://www.appledaily.com.tw/appledaily/article/headline/20160515/37215078","http://search.appledaily.com.tw/charity/projdetail/proj/A3930"
