"aid","n.word","n.image","journalist"
"A0001",NA,NA,"其他"
"A0002",934,1,"鋼鐵人"
"A0004",853,1,"小丑女"
"A0005",1004,1,"鋼鐵人"
"A0007",915,0,"鋼鐵人"
"A0008",912,1,"小丑女"
"A0009",890,1,"小丑女"
"A0012",879,1,"小丑女"
"A0013",1093,1,"小丑女"
"A0015",734,1,"小丑女"
"A0016",1000,1,"小丑女"
"A0018",NA,NA,"其他"
"A0019",468,1,"其他"
"A0020",523,1,"其他"
"A0021",1097,1,"其他"
"A0022",568,1,"其他"
"A0023",790,0,"其他"
"A0024",955,1,"小丑女"
"A0025",693,0,"小丑女"
"A0026",1028,1,"小丑女"
"A0027",881,1,"小丑女"
"A0028",875,1,"鋼鐵人"
"A0029",951,0,"鋼鐵人"
"A0030",883,0,"其他"
"A0031",781,1,"其他"
"A0032",828,0,"鋼鐵人"
"A0033",887,1,"小丑女"
"A0034",743,1,"鋼鐵人"
"A0035",814,1,"鋼鐵人"
"A0036",881,1,"鋼鐵人"
"A0037",979,1,"小丑女"
"A0038",1019,1,"小丑女"
"A0039",912,1,"鋼鐵人"
"A0040",503,1,"鋼鐵人"
"A0041",1107,1,"小丑女"
"A0042",1167,1,"神力女超人"
"A0043",477,1,"神力女超人"
"A0044",1061,1,"小丑女"
"A0045",1054,1,"小丑女"
"A0046",997,0,"鋼鐵人"
"A0047",778,1,"其他"
"A0048",1084,1,"其他"
"A0049",498,1,"神力女超人"
"A0050",835,1,"其他"
"A0052",991,1,"神力女超人"
"A0053",908,1,"神力女超人"
"A0054",960,1,"小丑女"
"A0055",873,1,"鋼鐵人"
"A0056",1154,1,"小丑女"
"A0057",898,1,"神力女超人"
"A0058",1038,1,"神力女超人"
"A0059",896,1,"小丑女"
"A0060",860,1,"其他"
"A0061",923,1,"鋼鐵人"
"A0062",686,1,"鋼鐵人"
"A0063",714,1,"鋼鐵人"
"A0064",1086,1,"其他"
"A0065",939,1,"小丑女"
"A0066",993,1,"小丑女"
"A0067",908,1,"小丑女"
"A0068",751,1,"小丑女"
"A0069",929,1,"鋼鐵人"
"A0070",787,1,"鋼鐵人"
"A0071",981,1,"其他"
"A0072B",NA,NA,"神力女超人"
