,Brazil_price,China_price,Mexico_price,Russia_price,Brazil_returns,China_returns,Mexico_returns,Russia_returns
6/01/2006,4544.617,3110.659,4464.293,997.242,1.990160026,-0.990249723,-1.461931823,-0.119943897
6/02/2006,4628.297,3174.436,4677.512,1052.25,0.792393135,0.881417064,2.026221991,2.331837339
6/05/2006,4475.484,3203.164,4587.215,1053.76,-1.458121121,0.391259918,-0.846581461,0.062277461
6/06/2006,4379.785,3202.454,4449.824,1003.572,-0.938721698,-0.009627458,-1.320626168,-2.119317318
6/07/2006,4253.738,3148.985,4337.008,977.54,-1.268205493,-0.731230836,-1.115261081,-1.14139985
6/08/2006,4251.254,3033.609,4088.887,928.375,-0.025368337,-1.62109878,-2.558511464,-2.241110042
6/09/2006,4242.16,3017.119,4328.336,934.96,-0.093000895,-0.236716433,2.47158582,0.306959411
6/12/2006,4052.624,2997.859,4187.559,926.485,-1.985073258,-0.278123721,-1.43600278,-0.395463865
6/13/2006,3859.698,2874.466,4001.951,848.024,-2.118298717,-1.825402652,-1.96891722,-3.843024895
6/14/2006,3896.62,2850.258,3918.503,879.389,0.413473042,-0.367300275,-0.915158322,1.577288543
6/15/2006,3933.997,2916.836,4197.023,925.204,0.414596912,1.002783816,2.982116558,2.205647285
6/16/2006,4148.516,3058.807,4357.152,906.955,2.305874502,2.064006392,1.626136145,-0.865176233
6/19/2006,4136.113,3008.753,4411.266,915.87,-0.13003741,-0.716553908,0.536053595,0.424809422
6/20/2006,4091.846,2947.639,4333.391,928.551,-0.4673115,-0.891224231,-0.773536958,0.597192843
6/21/2006,4228.914,2974.69,4415.848,929.014,1.430957302,0.396741948,0.818623892,0.02164967
6/22/2006,4206.262,3016.476,4518.75,921.65,-0.233253278,0.60581608,1.000419872,-0.345623132
6/23/2006,4228.941,3007.786,4570.73,919.484,0.233530557,-0.125294075,0.496725297,-0.102185097
6/26/2006,4254.566,3035.644,4384.191,924.87,0.262363901,0.400390552,-1.809610141,0.253651601
6/27/2006,4205.695,3070.105,4440.605,947.678,-0.5017491,0.490238988,0.55526774,1.058010629
6/28/2006,4243.066,3083.024,4421.328,959.009,0.384201303,0.182367659,-0.188940899,0.516188415
6/29/2006,4512.926,3125.354,4453.527,991.997,2.677842512,0.592231024,0.315135501,1.468767585
6/30/2006,4643.852,3234.728,4686.633,1023.887,1.242015798,1.493855206,2.215685658,1.374167016
7/03/2006,4794.078,3250.63,4715.18,1035.812,1.382672548,0.212977131,0.26373302,0.502890914
7/04/2006,4784.594,3265.43,4722.781,1055.257,-0.086000444,0.197283923,0.069953098,0.807730365
7/05/2006,4589.723,3213.005,4808.602,1025.032,-1.805861563,-0.702897697,0.782102535,-1.262081807
7/06/2006,4627.352,3250.895,4749.332,1047.367,0.35460616,0.509154114,-0.538630292,0.936146257
7/07/2006,4604.859,3259.456,4641.363,1047.667,-0.211620057,0.114218026,-0.998699399,0.012437826
7/10/2006,4604.109,3262.333,4715.465,1053.503,-0.007073993,0.038316643,0.687898988,0.241251219
7/11/2006,4609.391,3259.863,4682.855,1056.37,0.049795272,-0.032894057,-0.301381521,0.118028246
7/12/2006,4552.016,3273.447,4797.57,1061.272,-0.543976961,0.180596504,1.051060963,0.201064708
7/13/2006,4386.621,3217.575,4762.938,1019.049,-1.607366652,-0.747663483,-0.314639186,-1.763163906
7/14/2006,4356.152,3178.334,4685.887,1014.204,-0.302708812,-0.532914512,-0.708311687,-0.206974808
