ARG,AUS,AUT,BEL,BRA,CAN,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,GRE,HKG,HUN,IDN,IND,IRL,ISR,ITA,JPN,KOR,MAR,MEX,MYS,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,RUS,SGP,SWE,SWZ,TAW,THA,TUR,USA,ZAF
-0.044065,-0.064623,-0.038707,-0.007794,-0.090595,-0.054218,-0.038532,-0.148739,0.071807,-0.106539,-0.02027,0.012782,0.032525,-0.011576,-0.011211,-0.02513,-0.018215,-0.055264,-0.128375,-0.257955,-0.089113,-0.063921,0.007421,0.006558,0.064635,-0.060623,-0.096163,0.046311,-0.246713,-0.107298,0.009585,0.008042,0.028994,-0.138842,-0.211213,-0.149403,-0.201844,-0.093444,-0.248295,-0.083763,0.004825,-0.009351,-0.130852,-0.126076,-0.127574,0.025062,-0.161083
-0.227006,0.029111,0.047845,0.026967,-0.162915,0.051841,-0.037998,0.108541,-0.070157,0.006686,0.080279,0.028005,0.040679,0.021829,0.005125,0.01512,0.002783,0.030188,0.139602,0.021688,0.080239,-0.054372,0.033012,-0.121343,-0.095229,-0.050074,-0.021566,0.049236,-0.272636,0.126718,0.025611,-0.038427,0.015731,0.049798,-0.070746,0.008033,0.052124,0.065873,-0.222846,0.037535,0.015877,0.056962,0.030435,0.064223,0.06139,0.036599,0.072115
0.169852,-0.01256,0.00553,0.056829,-0.145011,0.039948,-0.000943,0.001621,-0.110151,-0.133315,-0.024447,-0.006584,0.049093,-0.023503,-0.030691,0.122317,0.06979,0.059933,0.022145,0.001127,-0.055879,-0.038597,0.011893,0.131599,-0.059812,0.087439,0.080172,0.072482,0.017949,0.002108,0.046909,-0.015834,0.031596,-0.131777,0.042626,-0.038141,-0.028261,0.063261,0.082783,0.021698,-0.017358,0.06099,0.007562,-0.05288,0.308157,0.024426,0.125786
0.029704,0.063143,-0.006359,0.060126,0.177105,0.015588,0.083983,-0.113225,-0.084685,-0.00225,0.040282,0.046056,0.002563,0.076971,0.119041,0.008626,0.011087,0.004235,-0.031857,0.147456,-0.045761,-0.05187,0.020677,0.049972,0.096694,0.047072,0.001338,-0.006956,0.173352,-0.012778,0.030831,0.079118,0.104659,-0.048675,0.30441,0.011292,0.339299,-0.005796,-0.278693,0.012765,0.085845,0.017763,-0.09097,0.004834,0.190319,0.028951,0.022786
0.059786,-0.025272,0.052874,-0.005489,-0.002659,0.039123,0.088279,0.148197,-0.004669,-0.007163,0.007091,0.040851,-0.005221,0.043585,0.037862,0.0097,0.020207,0.067081,0.120813,0.006561,0.147788,0.03875,0.008024,0.015834,0.002511,-0.064638,-0.013131,-0.012023,-0.031096,0.10578,0.010265,-0.016975,-0.025734,-0.064074,0.045579,0.151469,-0.098417,0.000374,0.276183,0.061863,0.013382,0.044776,-0.027976,0.151193,-0.005397,0.036393,-0.027246
-0.058056,-0.013508,0.012137,-0.001096,-0.026218,0.015394,0.022021,-0.013888,0.106689,-0.04305,0.026689,-0.017139,0.021366,0.012181,0.134826,-0.018412,-0.001724,0.021235,-0.019203,-0.033884,0.039499,-0.036444,0.042078,0.058129,-0.030942,-0.049604,0.016221,-0.023748,0.090168,-0.017446,0.008061,0.045876,-0.021981,0.066607,-0.002611,0.001363,0.067139,-0.003979,0.358995,-0.050991,0.042365,0.027866,-0.053476,-0.008751,-0.060283,0.022436,0.0013
0.048771,0.086904,0.005073,0.029614,0.034703,0.016022,-0.061134,0.048681,-0.049245,0.039475,0.05639,0.066915,-0.057905,0.068311,0.101906,0.043188,0.051675,0.063128,0.017172,0.014512,0.020273,0.037864,0.02952,0.009099,0.074446,0.07601,0.03836,-0.041705,0.087462,0.021002,0.052995,0.042971,0.041196,0.097439,0.078468,0.015981,-0.054026,0.011147,-0.000341,0.019369,0.066122,0.009043,-0.055169,-0.017836,0.061538,0.031578,0.013439
-0.026526,0.016204,-0.079686,-0.060461,0.048253,-0.00094,-0.073654,-0.059932,-0.07383,0.006299,-0.056698,-0.054909,0.013401,-0.036397,-0.018459,-0.067225,-0.026616,-0.053784,-0.03666,0.00042,-0.051415,-0.038745,-0.002202,0.047222,-0.02507,-0.041567,-0.035268,-0.038862,0.033528,-0.059248,-0.064038,-0.060665,-0.04305,-0.004487,0.011752,-0.057212,-0.04025,-0.085712,-0.143212,-0.051104,-0.028136,-0.025865,-0.101659,-0.057173,-0.216924,-0.001761,0.005919
-0.027983,-0.008547,0.003797,0.032773,0.048923,-0.006261,-0.028275,-0.046697,-0.059026,0.068167,0.012532,0.015094,0.009813,-0.000701,0.042216,-0.020551,0.027069,0.026081,0.055277,-0.005675,-0.028346,-0.032141,0.023318,0.016569,-0.01091,0.007919,0.090041,0.042773,-0.062233,-0.019549,0.044988,0.034059,0.016756,-0.112182,-0.031005,-0.048405,0.068191,0.039611,-0.050472,-0.006112,0.128365,0.082082,0.049094,-0.006073,-0.085349,0.042105,0.020493
-0.058734,-0.027504,-0.049025,-0.000275,-0.098137,-0.010118,-0.026751,-0.064345,-0.075632,-0.006946,-0.013454,0.001354,-0.014764,-0.034311,-0.156871,0.013745,-0.003814,-0.042323,-0.000731,-0.127293,0.013132,-0.026902,-0.021173,-0.059578,-0.05006,-0.058096,0.016928,0.043784,-0.141606,-0.057227,-0.017071,-0.050965,0.034585,-0.149436,-0.066781,-0.08485,-0.107553,-0.004599,-0.169548,-0.003599,-0.044688,0.040198,-0.040773,-0.016794,0.089397,-0.002248,0.020915
