dates,AUSTRALIA,CANADA,DENMARK,JAPAN,NewZealand,SWEDEN,SWISS,UK,USA
1/01/1999,0.073207,0.058062,0.005368,0.015143,0.066365,0.073838,0.000528,0.026478,0.039501
1/04/1999,0.07723,0.049065,0.002651,0.039837,0.076986,0.060271,0.006993,0.02859,0.040826
1/05/1999,0.07966,0.061263,0.002305,0.03472,0.07025,0.055887,0.004979,0.034618,0.044377
1/06/1999,0.074933,0.053468,0.002194,0.031965,0.061137,0.047646,0.008822,0.029197,0.039146
1/07/1999,0.066073,0.050931,0.001648,0.014698,0.053406,0.039368,0.009324,0.028999,0.034937
1/08/1999,0.054498,0.041992,0.00205,0.007327,0.044709,0.033171,0.00665,0.024533,0.024755
1/11/1999,0.028452,0.029843,0.001067,-0.03061,0.02833,0.014423,0.007743,0.014341,0.020258
1/12/1999,0.035412,0.036258,0.001264,-0.003341,0.031871,0.015554,0.002318,0.020973,0.023038
1/13/1999,0.061306,0.061335,0.001566,0.028921,0.052925,0.026138,-0.007944,0.025362,0.038631
1/14/1999,0.05858,0.060039,0.001574,0.025673,0.054868,0.028075,-0.00515,0.021665,0.038281
1/15/1999,0.048367,0.050705,0.001725,0.020798,0.044489,0.023103,-0.000025,0.015965,0.028815
1/18/1999,0.03346,0.053102,0.002163,-0.010104,0.033171,0.021343,0.001538,0.024696,0.033562
1/19/1999,0.029725,0.061919,0.00095,-0.021276,0.039213,0.006873,-0.003026,0.020986,0.035342
1/20/1999,0.040591,0.066142,0.000972,-0.020507,0.046493,0.00322,0.002204,0.033287,0.043472
1/21/1999,0.040961,0.0613,0.000503,-0.022056,0.044074,0.005209,0.001143,0.031638,0.04455
1/22/1999,0.05149,0.063407,0.0006,-0.014081,0.052084,0.00456,-0.001551,0.030143,0.044412
1/25/1999,0.055412,0.066497,0.001089,-0.015674,0.047979,0.001127,0.002114,0.020415,0.055506
1/26/1999,0.040346,0.05759,0.000629,-0.006985,0.030265,-0.006254,0.005829,0.014381,0.047622
1/27/1999,0.03442,0.055124,0.000617,0.01703,0.022671,-0.017443,0.009168,0.018019,0.048105
1/28/1999,0.031711,0.051703,0.000828,0.016561,0.020396,-0.017644,0.011451,0.013206,0.040681
1/29/1999,0.023496,0.036185,0.000844,0.011666,0.007449,-0.01672,0.011675,0.010841,0.035287
2/01/1999,0.020121,0.023007,0.000688,-0.01991,0.010279,-0.016593,0.011147,0.022909,0.036149
2/02/1999,0.022468,0.040361,0.00038,-0.046852,0.01358,-0.008271,0.004749,0.025851,0.048733
2/03/1999,0.024222,0.044105,0.001172,-0.042891,0.007247,-0.000694,0.003467,0.029238,0.045947
2/04/1999,0.0154,0.027856,0.001198,-0.048272,0.000049,-0.00489,0.003799,0.024124,0.041014
2/05/1999,0.003076,0.022679,0.000921,-0.04207,0.00042,-0.008605,0.002941,0.023473,0.040696
2/08/1999,0.002787,0.005153,0.00083,-0.028454,-0.01413,-0.000721,-0.002247,0.024953,0.027834
2/09/1999,0.02091,0.02512,0.000827,-0.008438,0.000197,0.006865,0.002731,0.037912,0.043651
2/10/1999,0.01871,0.015184,0.001131,-0.008323,0.001434,0.005957,-0.003069,0.038773,0.035263
2/11/1999,0.010814,0.009461,0.000932,-0.01237,-0.001388,0.004313,-0.00159,0.038758,0.033152
2/12/1999,0.015145,0.011794,0.000572,-0.014075,0.002721,0.002474,-0.00317,0.034686,0.031445
2/15/1999,-0.009096,0.003936,0.001431,-0.006468,-0.018027,-0.011303,-0.001491,0.022987,0.021924
2/16/1999,0.009019,0.006743,0.000828,0.018675,0.004828,-0.006897,-0.000714,0.017225,0.018799
2/17/1999,0.022633,0.016574,0.000939,0.040507,0.015381,-0.002529,-0.001165,0.02551,0.02909
2/18/1999,0.020068,0.009057,0.000858,0.047119,0.011494,0.000664,-0.000921,0.025917,0.028129
2/19/1999,0.00441,-0.000097,0.000978,0.04184,-0.005065,-0.001583,0.000063,0.017016,0.01679
2/22/1999,0.010838,0.004836,0.001114,0.03084,0.006948,-0.009528,0.003437,0.024417,0.011508
2/23/1999,0.006987,0.003623,0.000648,0.03323,0.010865,-0.009832,-0.002629,0.024389,0.011231
2/24/1999,0.025218,0.012454,0.000576,0.032338,0.029082,-0.001699,-0.002695,0.035566,0.021839
2/25/1999,0.043378,0.024383,0.000375,0.026603,0.047153,0.003642,-0.002494,0.041071,0.030597
2/26/1999,0.04456,0.021405,0.000465,0.007838,0.044591,0.007647,-0.003973,0.035682,0.023952
3/01/1999,0.034878,0.019182,0.000471,0.018333,0.030215,0.013258,-0.005673,0.018782,0.014255
3/02/1999,0.038345,0.023249,0.00034,0.014354,0.028149,0.012467,-0.003747,0.006039,0.012208
3/03/1999,0.02879,0.033462,0.000868,0.01557,0.021071,0.012044,-0.006704,0.005456,0.013452
3/04/1999,0.02271,0.023857,0.000968,0.024379,0.017299,0.008416,-0.005797,0.003384,0.005316
3/05/1999,0.016536,0.019242,0.000104,0.017206,0.01341,0.005259,-0.004557,0.004243,0.007305
3/08/1999,0.004825,0.019149,0.000646,0.011879,0.006997,0.000522,-0.003415,0.00248,0.009605
3/09/1999,-0.01296,0.018868,0.0004,0.005969,-0.002093,-0.003467,-0.001381,0.004554,0.006532
3/10/1999,0.008104,0.029664,0.000172,0.003703,0.013679,-0.003799,-0.002089,0.00489,0.017887
3/11/1999,-0.000093,0.018871,-0.000118,-0.005953,0.009424,-0.009185,-0.005589,-0.006022,0.006566
3/12/1999,0.006631,0.030125,0.000452,-0.002893,0.016806,-0.006003,-0.002559,-0.000179,0.016902
3/15/1999,0.024054,0.037584,-0.000531,0.003965,0.030927,-0.002659,-0.003803,0.01187,0.013907
3/16/1999,0.038069,0.04275,0.000414,0.003718,0.042499,0.008946,-0.005627,0.011312,0.018325
3/17/1999,0.061369,0.051658,-0.000223,0.028042,0.066807,0.009242,-0.004722,0.020417,0.029397
3/18/1999,0.05142,0.047892,0.000144,0.020547,0.054521,0.004018,-0.004778,0.018095,0.027464
3/19/1999,0.047613,0.042061,-0.000032,0.009294,0.04988,0.003718,-0.004791,0.013137,0.021896
3/22/1999,0.049701,0.042144,-0.000023,0.009275,0.054252,0.003872,-0.003618,0.016581,0.029299
3/23/1999,0.046977,0.047117,0.000296,0.011847,0.047601,0.001657,-0.006199,0.017558,0.029595
3/24/1999,0.046954,0.04554,-0.000195,0.007961,0.044951,0.009638,-0.008041,0.011552,0.027217
3/25/1999,0.04851,0.045491,0.000443,0.007945,0.043362,0.010189,-0.005307,0.013966,0.022801
3/26/1999,0.039405,0.03491,0.000451,0.011745,0.035115,0.004903,-0.006676,0.008394,0.009983
3/29/1999,0.03986,0.033359,0.000196,0.010198,0.037247,0.002011,-0.010514,0.007581,0.009482
3/30/1999,0.066554,0.047917,0.000148,0.024129,0.061507,0.005783,-0.008603,0.016642,0.017753
3/31/1999,0.070149,0.059938,0.001293,0.009658,0.069659,-0.002239,-0.009369,0.019621,0.021922
4/01/1999,0.062187,0.055828,0.001309,0.020668,0.064377,-0.001259,-0.01041,0.026817,0.023318
