,mediaTech.OPEN,mediaTech.HIGH,mediaTech.LOW,mediaTech.CLOSE,mediaTech.CHANGE,mediaTech.Returns,mediaTech.TRANSACTION,mediaTech.VOL
2006/1/3,398.5,414.5,396,400,1.5,0.0038,6809961,16786
2006/1/4,405,406,386,388,-12,-0.03,6941616,17565
2006/1/5,392,404,387.5,393,5,0.0129,6150769,15555
2006/1/6,396,403,370,370,-23,-0.0585,10815259,28222
2006/1/9,372,375,360,365,-5,-0.0135,5972515,16374
2006/1/10,365,368,355.5,357,-8,-0.0219,4086800,11300
2006/1/11,356,362.5,353,361.5,4.5,0.0126,5384478,15028
2006/1/12,362.5,364.5,348.5,350,-11.5,-0.0318,4567414,12847
2006/1/13,352,356.5,347,347,-3,-0.0086,3106520,8826
2006/1/16,347.5,354,344.5,347,0,0,3986303,11453
2006/1/17,352,361,350,350.5,3.5,0.0101,6275262,17674
2006/1/18,345,346,326.5,335.5,-15,-0.0428,7116305,21206
2006/1/19,334,336.5,322,325.5,-10,-0.0298,5583850,16958
2006/1/20,329,333,325,325,-0.5,-0.0015,3465053,10564
2006/1/23,319,329.5,318,327,2,0.0062,3140427,9675
2006/1/24,330,334.5,328.5,329,2,0.0061,2446153,7377
2006/1/25,329,329,318,319.5,-9.5,-0.0289,3555865,11040
2006/2/3,331,334.5,327.5,329,9.5,0.0297,3790693,11458
2006/2/6,320,335,315.5,335,6,0.0182,2819570,8721
2006/2/7,334,342,331,336,1,0.003,3318712,9819
2006/2/8,340,341.5,335,335,-1,-0.003,2519952,7465
2006/2/9,341,342,331.5,331.5,-3.5,-0.0104,2259263,6701
2006/2/10,333.5,334,318.5,320.5,-11,-0.0332,2894604,8945
2006/2/13,320,328,314,328,7.5,0.0234,2617969,8132
2006/2/14,327,335,325.5,332.5,4.5,0.0137,2341700,7080
2006/2/15,330,349,327.5,344,11.5,0.0346,7613659,22254
2006/2/16,349,351.5,345,345,1,0.0029,3558197,10211
2006/2/17,347,348,339,340,-5,-0.0145,2464016,7195
2006/2/20,338,342,335.5,340,0,0,1601671,4730
2006/2/21,341.5,344.5,337,337,-3,-0.0088,2087787,6158
2006/2/22,340.5,341.5,327,328,-9,-0.0267,3008615,9035
2006/2/23,329,329.5,319,319,-9,-0.0274,3170595,9838
2006/2/24,318.5,328,318.5,328,9,0.0282,1870626,5772
2006/2/27,325,338,323.5,335.5,7.5,0.0229,2352282,7053
2006/3/1,335,351.5,332,349.5,14,0.0417,5486695,15913
2006/3/2,355,356,341,341,-8.5,-0.0243,3427785,9804
2006/3/3,343,351.5,340,341.5,0.5,0.0015,3295895,9546
