DENY,BLACK,PI_RATIO,HOUSE_INCOME,MEDIUM,HIGH,LOAN_VALUE,CONSUMER_CREDIT,MORGAGE_CREDIT,PUBLIC,DENIED_MI,SELF,SINGLE,URIA
0,0,0.221,0.221,1,0,0.8,5,2,0,0,0,0,3.9
0,0,0.265,0.265,1,0,0.921875,2,2,0,0,0,1,3.2
0,0,0.372,0.248,1,0,0.920398,1,2,0,0,0,0,3.2
0,0,0.32,0.25,1,0,0.860465,1,2,0,0,0,0,4.3
0,0,0.36,0.35,0,0,0.6,1,1,0,0,0,0,3.2
0,0,0.24,0.17,0,0,0.510526,1,1,0,0,0,0,3.9
0,0,0.35,0.29,0,0,0.746667,1,2,0,0,0,1,3.9
0,0,0.28,0.22,1,0,0.85,2,2,0,0,0,0,1.8
1,0,0.31,0.24,1,0,0.89726,2,2,0,1,0,0,3.1
0,0,0.18,0.17,0,0,0.358744,2,1,0,0,0,1,3.9
0,0,0.28,0.27,0,0,0.223881,1,2,0,0,0,1,3.1
0,0,0.31,0.3,0,0,0.688889,1,2,0,0,0,1,4.3
1,0,0.28,0.27,0,0,0.537634,1,2,0,1,0,0,4.3
0,0,0.36,0.34,0,0,0.649438,1,1,0,0,0,0,10.6
0,0,0.18,0.15,0,0,0.3625,1,1,0,0,0,0,3.2
0,0,0.36,0.27,1,0,0.833333,2,1,0,0,0,0,3.2
0,0,0.23,0.22,0,0,0.642857,1,1,0,0,0,0,3.2
0,0,0.32,0.27,0,0,0.4375,2,1,0,0,0,0,3.2
0,0,0.31,0.29,0,0,0.794444,2,2,0,0,0,0,4.3
0,0,0.37,0.28,1,0,0.8,2,2,0,0,0,1,3.1
1,0,0.37,0.22,1,0,0.896341,6,1,1,1,0,0,3.1
0,0,0.39,0.31,1,0,0.878571,3,2,0,0,0,0,5.3
0,0,0.32,0.32,0,0,0.772059,1,2,0,0,0,1,10.6
0,0,0.39,0.33,1,0,0.901024,1,2,0,0,0,0,3.2
0,0,0.33,0.31,0,0,0.654378,1,2,0,0,0,1,3.9
0,0,0.28,0.13,0,0,0.62963,1,2,0,0,0,1,3.2
0,0,0.37,0.28,1,0,0.894737,1,2,0,0,0,1,1.8
0,0,0.3,0.25,0,0,0.485437,1,2,0,0,0,1,3.2
0,0,0.31,0.29,1,0,0.949367,1,2,0,0,0,0,3.9
0,1,0.26,0.21,1,0,0.891089,1,2,0,0,0,1,1.8
0,0,0.36,0.29,1,0,0.863309,1,2,0,0,0,1,4.3
0,0,0.37,0.2,0,0,0.714286,5,1,0,0,0,0,4.3
0,0,0.35,0.26,0,0,0.75122,3,2,0,0,0,1,3.6
0,0,0.37,0.26,1,0,0.902128,1,2,0,0,0,1,2
0,0,0.34,0.28,1,0,0.847059,1,2,0,0,0,0,4.3
0,0,0.38,0.28,0,0,0.473684,1,2,0,0,0,0,3.9
0,0,0.44,0.31,0,0,0.68797,1,1,0,0,0,0,3.1
0,1,0.35,0.22,1,0,0.89781,2,1,0,0,0,0,4.3
0,0,0.38,0.28,1,0,0.880851,1,2,0,0,0,0,3.1
0,0,0.37,0.34,1,0,0.919753,1,2,0,0,0,1,3.1
0,0,0.37,0.28,1,0,0.936364,1,2,0,0,0,0,3.9
0,0,0.41,0.1,0,0,0.642857,1,1,0,0,0,0,2
1,0,0.35,0.34,0,1,1.478261,1,2,0,1,0,0,3.2
1,0,0.41,0.3,0,0,0.72,3,4,0,0,0,0,3.2
0,0,0.34,0.28,0,0,0.677966,6,2,1,0,0,1,3.1
0,0,0.29,0.19,1,0,0.9,2,2,0,0,0,0,3.2
1,0,0.27,0.26,1,0,0.8,6,2,1,0,0,0,3.2
0,1,0.37,0.27,1,0,0.853846,1,2,0,0,0,1,3.2
1,0,0.34,0.3,0,0,0.741935,1,2,0,0,1,0,3.9
0,0,0.36,0.15,0,0,0.675676,2,1,0,0,0,1,3.1
0,0,0.34,0.32,0,0,0.643678,5,3,0,0,0,1,3.2
0,0,0.27,0.21,1,0,0.941176,1,2,0,0,0,0,2
