wage,education,wage_begin,gender,minority,job_category
57000,15,27000,Male,No,Management
40200,16,18750,Male,No,Administrative
21450,12,12000,Female,No,Administrative
21900,8,13200,Female,No,Administrative
45000,15,21000,Male,No,Administrative
32100,15,13500,Male,No,Administrative
36000,15,18750,Male,No,Administrative
21900,12,9750,Female,No,Administrative
27900,15,12750,Female,No,Administrative
24000,12,13500,Female,No,Administrative
30300,16,16500,Female,No,Administrative
28350,8,12000,Male,Yes,Administrative
27750,15,14250,Male,Yes,Administrative
35100,15,16800,Female,Yes,Administrative
27300,12,13500,Male,No,Administrative
40800,12,15000,Male,No,Administrative
46000,15,14250,Male,No,Administrative
103750,16,27510,Male,No,Management
42300,12,14250,Male,No,Administrative
26250,12,11550,Female,No,Administrative
38850,16,15000,Female,No,Administrative
21750,12,12750,Male,Yes,Administrative
24000,15,11100,Female,Yes,Administrative
16950,12,9000,Female,Yes,Administrative
21150,15,9000,Female,Yes,Administrative
31050,15,12600,Male,No,Administrative
60375,19,27480,Male,No,Management
32550,15,14250,Male,No,Administrative
135000,19,79980,Male,No,Management
31200,15,14250,Male,No,Administrative
36150,12,14250,Male,No,Administrative
110625,19,45000,Male,No,Management
42000,15,15000,Male,No,Administrative
92000,19,39990,Male,No,Management
81250,17,30000,Male,No,Management
31350,8,11250,Female,No,Administrative
29100,12,13500,Male,Yes,Administrative
31350,15,15000,Male,Yes,Administrative
36000,16,15000,Male,Yes,Administrative
19200,15,9000,Female,Yes,Administrative
23550,12,11550,Female,Yes,Administrative
35100,15,16500,Male,No,Administrative
23250,12,14250,Male,No,Administrative
29250,8,14250,Male,No,Administrative
30750,12,13500,Male,No,Custodians
22350,15,12750,Female,No,Administrative
30000,12,16500,Female,No,Administrative
30750,12,14100,Male,No,Custodians
34800,15,16500,Male,No,Administrative
60000,16,23730,Male,No,Management
35550,12,15000,Male,No,Administrative
45150,15,15000,Male,No,Administrative
73750,18,26250,Male,No,Management
25050,12,13500,Male,No,Administrative
27000,12,15000,Male,No,Administrative
26850,15,13500,Male,No,Administrative
33900,15,15750,Male,No,Administrative
26400,15,13500,Female,No,Administrative
28050,15,14250,Male,Yes,Administrative
30900,12,15000,Male,Yes,Administrative
22500,8,9750,Male,Yes,Administrative
48000,16,21750,Male,No,Management
55000,17,26250,Male,No,Management
53125,16,21000,Male,No,Management
21900,8,14550,Male,No,Administrative
78125,19,30000,Male,No,Management
46000,16,21240,Male,No,Management
45250,16,21480,Male,No,Management
56550,16,25000,Male,No,Management
41100,15,20250,Male,No,Administrative
82500,17,34980,Male,No,Management
54000,16,18000,Female,No,Administrative
26400,12,10500,Female,No,Administrative
33900,15,19500,Female,No,Administrative
24150,15,11550,Female,No,Administrative
29250,15,11550,Female,No,Administrative
27600,12,11400,Female,No,Administrative
22950,12,10500,Female,No,Administrative
34800,16,14550,Female,No,Administrative
51000,16,18000,Female,No,Administrative
24300,12,10950,Female,No,Administrative
24750,12,14250,Female,Yes,Administrative
22950,12,11250,Female,Yes,Administrative
25050,8,10950,Female,Yes,Administrative
25950,15,17100,Male,No,Administrative
31650,15,15750,Male,No,Administrative
24150,12,14100,Male,No,Administrative
72500,19,28740,Male,No,Management
68750,19,27480,Male,No,Management
16200,8,9750,Female,No,Administrative
20100,12,11250,Female,No,Administrative
