tip,total_bill,sex,smoker,day,time,size
1.01,16.99,Female,No,Sun,Dinner,2
1.66,10.34,Male,No,Sun,Dinner,3
3.5,21.01,Male,No,Sun,Dinner,3
3.31,23.68,Male,No,Sun,Dinner,2
3.61,24.59,Female,No,Sun,Dinner,4
4.71,25.29,Male,No,Sun,Dinner,4
2,8.77,Male,No,Sun,Dinner,2
3.12,26.88,Male,No,Sun,Dinner,4
1.96,15.04,Male,No,Sun,Dinner,2
3.23,14.78,Male,No,Sun,Dinner,2
1.71,10.27,Male,No,Sun,Dinner,2
5,35.26,Female,No,Sun,Dinner,4
1.57,15.42,Male,No,Sun,Dinner,2
3,18.43,Male,No,Sun,Dinner,4
3.02,14.83,Female,No,Sun,Dinner,2
3.92,21.58,Male,No,Sun,Dinner,2
1.67,10.33,Female,No,Sun,Dinner,3
3.71,16.29,Male,No,Sun,Dinner,3
3.5,16.97,Female,No,Sun,Dinner,3
3.35,20.65,Male,No,Sat,Dinner,3
4.08,17.92,Male,No,Sat,Dinner,2
2.75,20.29,Female,No,Sat,Dinner,2
2.23,15.77,Female,No,Sat,Dinner,2
7.58,39.42,Male,No,Sat,Dinner,4
3.18,19.82,Male,No,Sat,Dinner,2
2.34,17.81,Male,No,Sat,Dinner,4
2,13.37,Male,No,Sat,Dinner,2
2,12.69,Male,No,Sat,Dinner,2
4.3,21.7,Male,No,Sat,Dinner,2
3,19.65,Female,No,Sat,Dinner,2
1.45,9.55,Male,No,Sat,Dinner,2
2.5,18.35,Male,No,Sat,Dinner,4
3,15.06,Female,No,Sat,Dinner,2
2.45,20.69,Female,No,Sat,Dinner,4
3.27,17.78,Male,No,Sat,Dinner,2
3.6,24.06,Male,No,Sat,Dinner,3
2,16.31,Male,No,Sat,Dinner,3
3.07,16.93,Female,No,Sat,Dinner,3
2.31,18.69,Male,No,Sat,Dinner,3
5,31.27,Male,No,Sat,Dinner,3
2.24,16.04,Male,No,Sat,Dinner,3
2.54,17.46,Male,No,Sun,Dinner,2
3.06,13.94,Male,No,Sun,Dinner,2
1.32,9.68,Male,No,Sun,Dinner,2
5.6,30.4,Male,No,Sun,Dinner,4
3,18.29,Male,No,Sun,Dinner,2
5,22.23,Male,No,Sun,Dinner,2
6,32.4,Male,No,Sun,Dinner,4
2.05,28.55,Male,No,Sun,Dinner,3
3,18.04,Male,No,Sun,Dinner,2
2.5,12.54,Male,No,Sun,Dinner,2
2.6,10.29,Female,No,Sun,Dinner,2
5.2,34.81,Female,No,Sun,Dinner,4
1.56,9.94,Male,No,Sun,Dinner,2
4.34,25.56,Male,No,Sun,Dinner,4
3.51,19.49,Male,No,Sun,Dinner,2
