"ID","Item"
1,"red hot chili peppers"
1,"the black dahlia murder"
1,"goldfrapp"
1,"dropkick murphys"
1,"le tigre"
1,"schandmaul"
1,"edguy"
1,"jack johnson"
1,"eluveitie"
1,"the killers"
1,"judas priest"
1,"rob zombie"
1,"john mayer"
1,"the who"
1,"guano apes"
1,"the rolling stones"
3,"devendra banhart"
3,"boards of canada"
3,"cocorosie"
3,"aphex twin"
3,"animal collective"
3,"atmosphere"
3,"joanna newsom"
3,"air"
3,"portishead"
3,"massive attack"
3,"broken social scene"
3,"arcade fire"
3,"plaid"
3,"prefuse 73"
3,"m83"
3,"the flashbulb"
3,"pavement"
3,"goldfrapp"
3,"amon tobin"
3,"sage francis"
3,"four tet"
3,"max richter"
3,"autechre"
3,"radiohead"
3,"neutral milk hotel"
3,"beastie boys"
3,"aesop rock"
3,"mf doom"
3,"the books"
4,"tv on the radio"
4,"tool"
4,"kyuss"
4,"dj shadow"
4,"air"
4,"a tribe called quest"
4,"the cinematic orchestra"
4,"beck"
4,"bon iver"
4,"royksopp"
4,"bonobo"
4,"the decemberists"
4,"snow patrol"
4,"battles"
4,"the prodigy"
4,"pink floyd"
4,"rjd2"
4,"the flaming lips"
4,"michael jackson"
4,"mgmt"
4,"the rolling stones"
4,"late of the pier"
4,"flight of the conchords"
4,"simian mobile disco"
4,"muse"
4,"fleetwood mac"
4,"led zeppelin"
5,"dream theater"
5,"ac/dc"
5,"metallica"
5,"iron maiden"
5,"bob marley & the wailers"
5,"megadeth"
5,"children of bodom"
5,"trivium"
5,"nightwish"
5,"sublime"
5,"volbeat"
6,"lily allen"
6,"kanye west"
6,"sigur ros"
6,"pink floyd"
6,"stevie wonder"
6,"metallica"
6,"thievery corporation"
6,"iron maiden"
6,"the streets"
6,"muse"
6,"faith no more"
6,"manu chao"
6,"tenacious d"
6,"depeche mode"
6,"justin timberlake"
6,"green day"
6,"snow patrol"
6,"dream theater"
6,"u2"
6,"jay-z"
6,"type o negative"
6,"pearl jam"
6,"queen"
7,"soundgarden"
7,"stone temple pilots"
7,"buckethead"
7,"dream theater"
7,"alice in chains"
7,"type o negative"
7,"pink floyd"
7,"rush"
7,"king crimson"
7,"camel"
7,"ac/dc"
7,"tool"
7,"disturbed"
7,"oasis"
7,"jethro tull"
7,"porcupine tree"
7,"audioslave"
7,"aerosmith"
7,"pearl jam"
7,"the verve"
7,"rammstein"
7,"led zeppelin"
9,"arch enemy"
9,"strapping young lad"
9,"kreator"
9,"children of bodom"
9,"iron maiden"
9,"sabaton"
9,"helloween"
9,"mastodon"
9,"pantera"
9,"manowar"
9,"gojira"
9,"devildriver"
9,"slayer"
9,"hammerfall"
9,"hatebreed"
9,"in flames"
9,"meshuggah"
9,"finntroll"
9,"gamma ray"
12,"queen"
12,"the beatles"
12,"lynyrd skynyrd"
12,"neil young"
12,"the rolling stones"
12,"the who"
12,"led zeppelin"
12,"pink floyd"
12,"black sabbath"
12,"the police"
12,"t. rex"
12,"simon & garfunkel"
12,"eagles"
12,"jimi hendrix"
12,"jethro tull"
12,"bee gees"
12,"van halen"
