spell,censor1,censor2,censor3,censor4,ui,reprate,logwage,tenure,disrate,slack,abolpos,explose,stateur,houshead,married,female,child,ychild,nonwhite,age,schlt12,schgt12,smsa,bluecoll,mining,constr,transp,trade,fire,services,pubadmin,year85,year87,year89,midatl,encen,wncen,southatl,escen,wscen,mountain,pacific
5,1,0,0,0,0,.17900001,6.8956828,3,.045000002,1,0,0,6.6000004,1,1,0,1,1,0,41,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,1,0,0,0,1,.51999998,5.2882671,6,.13,1,0,0,6.6000004,1,1,0,1,1,0,30,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,1,0,0,0,1,.204,6.767343,1,.050999999,1,0,0,6.6000004,0,0,0,0,0,0,36,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,1,.44800001,5.9788857,3,.112,1,0,0,6.6000004,1,1,0,1,1,1,26,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,1,0,1,.31999999,6.3153582,0,.079999998,0,1,1,6.6000004,1,0,0,0,0,0,22,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,1,1,.18700001,6.8543544,9,.046999998,0,0,1,6.6000004,1,1,0,1,1,0,43,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,.51999998,5.6094718,1,.13,1,0,0,6.6000004,1,1,0,1,1,1,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,.373,6.1612072,0,.093000002,1,0,0,6.6000004,1,1,0,1,1,0,32,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,1,.51999998,5.2882671,2,.13,1,0,1,6.6000004,1,1,0,1,0,0,35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,.51999998,5.2882671,1,.13,1,0,1,6.6000004,0,1,1,0,0,0,31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,0,1,1,.51999998,5.7557421,2,.13,0,0,0,6.6000004,1,1,0,1,1,0,26,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,0,0,1,1,.22400001,6.6720328,21,.056000002,0,1,1,6.6000004,1,1,0,0,0,0,49,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,.51999998,5.0625949,0,.13,0,0,1,6.6000004,1,0,1,0,0,0,39,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
