MonthGive,Region,YearsGive,AveDonAmt,LastDonAmt,DonPerYear,NewDonor,Age20t29,Age20t39,Age60pls,Age70pls,Age80pls,AdultAge,SomeUnivP,FinUnivP,hh1t2mem,hh1mem,AveIncEA,DwelValEA,EngPrmLang
Yes,R1,5,31.25,25,0.8,No,0.077922078,0.201298701,0.142857143,0.058441558,0,47.27522936,0.417391304,0.156521739,0.48,0.08,71703,222017,1
Yes,R1,9,25,25,0.111111111,No,0.149253731,0.288557214,0.154228856,0.084577114,0.019900498,45.54,0.536764706,0.323529412,0.442857143,0.128571429,70120,263469,0.866336634
Yes,R2,1,25,25,2,No,0.321100917,0.587155963,0.128440367,0.091743119,0.036697248,39.52,0.434782609,0.260869565,0.836065574,0.475409836,28662,0,0.792792793
Yes,R2,12,25,25,0.583333333,No,0.2,0.4,0.228571429,0.142857143,0.066666667,46.20879121,0.277777778,0.097222222,0.896551724,0.448275862,35419,183521,0.861386139
Yes,R2,2,25,25,0.5,No,0.22,0.54,0.23,0.16,0.07,44.47916667,0.639534884,0.465116279,0.957746479,0.676056338,34228,262905,0.846938776
Yes,R4,3,35,50,0.666666667,No,0.093645485,0.307692308,0.050167224,0.013377926,0,40.78378378,0.192090396,0.073446328,0.298850575,0.057471264,73443,162157,0.973063973
Yes,R3,9,75,50,0.444444444,No,0.117948718,0.261538462,0.266666667,0.117948718,0.015384615,49.71527778,0.20979021,0.090909091,0.636363636,0.181818182,43597,137733,0.943877551
Yes,R3,8,40,20,0.5,No,0.058064516,0.187096774,0.283870968,0.206451613,0.077419355,54.01724138,0.444444444,0.230769231,0.698630137,0.493150685,47208,310859,0.987341772
Yes,R2,2,35,35,1,No,0.237288136,0.550847458,0.084745763,0.050847458,0.016949153,39.53211009,0.638095238,0.390476191,0.885714286,0.442857143,57656,235356,0.889830509
Yes,R1,1,60,100,2,No,0.09223301,0.276699029,0.111650485,0.038834952,0.004854369,44.81944444,0.227272727,0.068181818,0.52,0.146666667,54941,191955,0.990291262
Yes,R2,6,25,25,0.333333333,No,0.142857143,0.31292517,0.190476191,0.115646259,0.054421769,47.00854701,0.571428571,0.375,0.661538462,0.430769231,58143,598544,0.766666667
Yes,R2,4,25,25,0.5,No,0.12173913,0.304347826,0.165217391,0.073913044,0.02173913,45.85798817,0.243902439,0.134146342,0.454545455,0.103896104,58337,294982,0.857142857
Yes,R2,6,31.25,50,0.666666667,No,0.2,0.377777778,0.266666667,0.211111111,0.122222222,48.74698795,0.457142857,0.357142857,0.931034483,0.551724138,50909,369559,0.869565217
Yes,R3,2,23.33333333,25,1.5,No,0.092827004,0.206751055,0.164556962,0.075949367,0.016877637,48.4137931,0.402366864,0.24852071,0.386666667,0.053333333,66891,361611,0.945833333
Yes,R3,8,83.28571429,283,0.875,No,0.102857143,0.222857143,0.211428571,0.085714286,0.017142857,49.47183099,0.28030303,0.159090909,0.582089552,0.104477612,71455,282477,0.912280702
Yes,R1,10,17,20,0.4,No,0.117647059,0.242647059,0.316176471,0.227941177,0.110294118,53.41121495,0.18,0.08,0.731343284,0.492537313,29445,146552,0.992307692
Yes,R2,9,19,25,0.555555556,No,0.073891626,0.221674877,0.236453202,0.142857143,0.049261084,50.90789474,0.589147287,0.348837209,0.541666667,0.180555556,78363,382937,0.919191919
Yes,R2,1,16.66666667,10,3,No,0.148648649,0.337837838,0.418918919,0.297297297,0.094594595,53.52857143,0.640625,0.53125,0.941176471,0.62745098,51952,311827,0.947368421
Yes,R2,0,22.5,25,0,Yes,0.201388889,0.458333333,0.055555556,0.013888889,0,39.96875,0.6953125,0.546875,0.835443038,0.392405063,69265,312546,0.951724138
Yes,R2,1,20,20,1,No,0.286885246,0.598360656,0.081967213,0.040983607,0.016393443,37.6635514,0.550458716,0.403669725,0.857142857,0.428571429,46807,197055,0.838709677
Yes,R4,9,38.5,50,1.111111111,No,0.083333333,0.243589744,0.044871795,0.006410256,0,41.89690722,0.411764706,0.264705882,0.29787234,0,103764,181642,1
Yes,R1,0,25,25,0,Yes,0.11627907,0.297674419,0.130232558,0.051162791,0.013953488,44.68874172,0.173913044,0.094202899,0.465753425,0.082191781,59650,183939,0.99537037
Yes,R2,5,100,100,0.2,No,0.071428571,0.214285714,0.225274725,0.098901099,0.021978022,50.03731343,0.18699187,0.138211382,0.631578947,0.263157895,52594,163424,0.978142077
Yes,R4,2,22.5,25,1,No,0.219653179,0.393063584,0.144508671,0.075144509,0.023121387,42.48031496,0.176470588,0.067226891,0.657534247,0.246575343,36318,103781,0.970930233
Yes,R3,2,20,20,0.5,No,0.135,0.33,0.08,0.03,0.005,42,0.310606061,0.151515152,0.35,0.066666667,66604,253329,0.78817734
Yes,R2,4,11.66666667,10,0.75,No,0.079365079,0.264550265,0.100529101,0.026455027,0,44.3046875,0.418803419,0.290598291,0.344827586,0.068965517,73996,303934,0.842105263
Yes,R1,7,25,25,0.428571429,No,0.050561798,0.168539326,0.43258427,0.359550562,0.117977528,59.66423358,0.248120301,0.142857143,0.7625,0.3375,39957,169461,0.994505495
