Creditability,Balance of current account,Duration in months,Payment of previous credits,Purpose of credit,Amount of credit in DM,Value of savings or stocks,Has been employed by current employer for,Installment in % of available income,Marital Status/Sex,Further debtors/Guarantors,Living in current household for,Most valuable available assets,Age in years,Further running credits,Type of apartment,Number of previous credits at this bank,Occupation,Number of persons entitled to maintainance,Telephone,Foreign worker,NewVar
bad,no running account,36,no problems with current credits at this bank,retraining,2145,no savings,between 4 and 7 years,between 25 and 35,male:single,none,less than 1 year,savings contract with a building society/Life insurance,24,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,2.960618942
good,no balance,48,hesistant payment of previous credits,retraining,12204,greater than 1000 DM,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,48,at other banks,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,2.879810225
bad,>=200 DM,36,no previous credits or paid back,used car,10974,no savings,unemployed,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,26,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,2.592734419
good,no running account,24,paid back previous credits at this bank,new car,6419,no savings,greater than 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,44,no further running credits,owner,2 or 3,executive/self-employed/higher civil servant,0 to 2,yes,yes,2.576882804
good,>=200 DM,24,no previous credits or paid back,retraining,1258,no savings,between 4 and 7 years,less than 20,male:single,none,less than 1 year,no assets,25,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,2.527170163
good,no balance,12,no previous credits or paid back,retraining,1037,less than 100 DM,between 4 and 7 years,between 20 and 25,male:single,none,greater than 7 years,no assets,39,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,2.502577355
bad,no running account,30,no previous credits or paid back,used car,3108,no savings,less than 1 year,between 25 and 35,male:divorced/living apart,none,greater than 7 years,car/other,31,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,2.439117951
good,no balance,15,paid back previous credits at this bank,items of furniture,1537,greater than 1000 DM,greater than 7 years,less than 20,male:single,guarantor,greater than 7 years,no assets,50,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,2.375307671
good,>=200 DM,15,paid back previous credits at this bank,items of furniture,1471,no savings,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,35,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,2.182903357
bad,no balance,27,paid back previous credits at this bank,items of furniture,2520,between 100 and 500 DM,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,car/other,23,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,2.156286351
bad,no balance,24,no previous credits or paid back,used car,4057,no savings,between 4 and 7 years,between 20 and 25,male:divorced/living apart,none,between 4 and 7 years,savings contract with a building society/Life insurance,43,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,2.047069649
bad,no running account,18,no previous credits or paid back,repair,750,no savings,unemployed,less than 20,female:divorced/living apart/married,none,less than 1 year,no assets,27,no further running credits,rented,one,unemployed/unskilled with no permaant residence,3 and more,no,yes,2.004313395
