MovieID,Year,Class,G,PG,PG-13,R,NR,CompHigh,CompMed,CompLow,StarHigh,StarMed,StarLow,Sci_Fi,HistEpicDrama,ModernDrama,Political,Thriller,Horror,Comedy,Cartoon,Action,Docum,TechHigh,TechMedium,TechLow,Sequel,NoScreens,Revenue,LT_1M,1M_10M,10M_20M,20M_40M,40M_65M,65M_100M,100M_150M,150M_200M,GT_200M
1,2004,9,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,4223,438478000,0,0,0,0,0,0,0,0,1
2,2004,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,471,2783000,0,1,0,0,0,0,0,0,0
3,2004,8,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,3304,176049000,0,0,0,0,0,0,0,1,0
4,2005,7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3239,,0,0,0,0,0,0,1,0,0
5,2004,4,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2709,30501000,0,0,0,1,0,0,0,0,0
6,2004,5,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1515,50525000,0,0,0,0,1,0,0,0,0
7,2004,5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3073,66145000,0,0,0,0,1,0,0,0,0
8,2004,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,35,1127000,0,1,0,0,0,0,0,0,0
9,2004,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2711,28108000,0,0,0,1,0,0,0,0,0
10,2004,7,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,3494,144775000,0,0,0,0,0,0,1,0,0
11,2004,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,116,2376000,0,1,0,0,0,0,0,0,0
12,2005,5,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1654,,0,0,0,0,1,0,0,0,0
13,2004,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,134,3726000,0,1,0,0,0,0,0,0,0
14,2005,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1510,,0,0,1,0,0,0,0,0,0
15,2004,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1448,17505000,0,0,1,0,0,0,0,0,0
16,2005,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2966,,0,0,1,0,0,0,0,0,0
17,2004,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2062,6768000,0,1,0,0,0,0,0,0,0
18,2004,4,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,824,23219000,0,0,0,1,0,0,0,0,0
19,2005,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3521,,0,0,0,0,0,1,0,0,0
20,2005,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3188,,0,0,0,0,1,0,0,0,0
21,2004,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2445,13493000,0,0,1,0,0,0,0,0,0
22,2005,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,2195,,0,0,1,0,0,0,0,0,0
23,2005,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4142,,0,0,0,0,0,0,0,1,0
24,2004,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4070,160762000,0,0,0,0,0,0,0,1,0
